Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Paid_Date,Invoice_Value,Payment_Terms,Days_Late,Invoice_Status,Reminder_Count,Disputed_Flag,Write_Off_Flag,Cash_Flow_Risk_Flag,Month,Quarter,,Extract Date
200015,C006,01/05/2025,30/06/2025,30/06/2025,1525,60,0,On Time,0,,,Low,May,2025,,04/04/2026
200016,C007,01/05/2025,31/05/2025,02/07/2025,243,30,32,Seriously Late,1,,,High,May,2025,,
200017,C008,01/05/2025,30/06/2025,15/07/2025,4100,60,15,Paid Late,0,,,Medium,May,2025,,
200018,C009,01/05/2025,31/05/2025,29/05/2025,4894,30,0,On Time,0,,,Low,May,2025,,
200019,C010,01/05/2025,31/05/2025,29/05/2025,12405,30,0,On Time,0,,,Low,May,2025,,
200020,C011,01/05/2025,31/05/2025,31/05/2025,2980,30,0,On Time,0,,,Low,May,2025,,
200021,C012,02/05/2025,16/06/2025,18/06/2025,3079,45,2,Paid Late,0,,,Low,May,2025,,
200022,C020,02/05/2025,01/06/2025,03/06/2025,3244,30,2,Paid Late,0,,,Low,May,2025,,
200023,C021,02/05/2025,01/06/2025,03/06/2025,2381,30,2,Paid Late,0,,,Low,May,2025,,
200024,C022,02/05/2025,01/06/2025,01/06/2025,1019,30,0,On Time,0,,,Low,May,2025,,
200025,C023,02/05/2025,01/06/2025,21/06/2025,2404,30,20,Seriously Late,0,,,Medium,May,2025,,
200026,C024,06/05/2025,05/06/2025,05/06/2025,4895,30,0,On Time,0,,,Low,May,2025,,
200027,C025,06/05/2025,20/06/2025,21/06/2025,4244,45,1,Paid Late,0,,,Low,May,2025,,
200028,C026,06/05/2025,20/06/2025,20/06/2025,4372,45,0,On Time,0,,,Low,May,2025,,
200029,C027,06/05/2025,05/07/2025,05/07/2025,3052,60,0,On Time,0,,,Low,May,2025,,
200030,C095,06/05/2025,05/06/2025,10/06/2025,4052,30,5,Paid Late,0,,,Low,May,2025,,
200031,C096,07/05/2025,06/06/2025,08/06/2025,2338,30,2,Paid Late,0,,,Low,May,2025,,
200032,C097,07/05/2025,06/06/2025,11/06/2025,19996,30,5,Paid Late,0,,,Low,May,2025,,
200033,C098,07/05/2025,06/06/2025,06/06/2025,2954,30,0,On Time,0,,,Low,May,2025,,
